clip_id,accepted,total_frames,metadata_rows,deduped_face_rows,duplicate_rows_removed,frames_with_any_face,protected_face_rows,non_target_face_rows,protected_state_switches,non_target_state_switches,stable_id_count,raw_track_id_count,target_coverage,target_frame_count,protected_alteration_rate,non_target_exposure_rate,anonymization_coverage,swap_coverage,blur_coverage,non_target_unprocessed_rate,non_target_unknown_rate,protected_unknown_rate,unknown_rate,log_path,face_metadata_path,protected_preserve_rows,protected_swap_rows,protected_blur_rows,protected_unprocessed_rows,protected_failed_rows,protected_unknown_rows,non_target_preserve_rows,non_target_swap_rows,non_target_blur_rows,non_target_unprocessed_rows,non_target_failed_rows,non_target_unknown_rows,preserve_rows,swap_rows,blur_rows,unprocessed_rows,failed_rows,unknown_rows
170221_haggling_b2_hd_00_27_0001350000,yes,300,875,875,0,300,298,577,0,0,2,3,0.993333,298,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,tracking_target_170221_haggling_b2_hd_00_27_0001350000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001350000.json,298,0,0,0,0,0,0,0,0,577,0,0,298,0,0,577,0,0
170221_haggling_b2_hd_00_27_0001850000,yes,299,529,529,0,219,214,315,0,10,4,4,0.715719,214,0.0,0.692063,0.307937,0.307937,0.0,0.692063,0.0,0.0,0.0,tracking_target_170221_haggling_b2_hd_00_27_0001850000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001850000.json,214,0,0,0,0,0,0,97,0,218,0,0,214,97,0,218,0,0
170221_haggling_b3_hd_00_27_0001250000,yes,299,606,606,0,299,299,307,0,0,2,3,1.0,299,0.0,0.026059,0.973941,0.973941,0.0,0.026059,0.0,0.0,0.0,tracking_target_170221_haggling_b3_hd_00_27_0001250000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001250000.json,299,0,0,0,0,0,0,299,0,8,0,0,299,299,0,8,0,0
170221_haggling_b3_hd_00_27_0001350000,yes,300,653,653,0,300,299,354,0,0,2,3,0.996667,299,0.0,0.155367,0.844633,0.844633,0.0,0.155367,0.0,0.0,0.0,tracking_target_170221_haggling_b3_hd_00_27_0001350000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001350000.json,299,0,0,0,0,0,0,299,0,55,0,0,299,299,0,55,0,0
170221_haggling_b3_hd_00_27_0001450000,yes,244,498,498,0,244,244,254,0,3,2,3,1.0,244,0.0,0.125984,0.874016,0.874016,0.0,0.125984,0.0,0.0,0.0,tracking_target_170221_haggling_b3_hd_00_27_0001450000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001450000.json,244,0,0,0,0,0,0,222,0,32,0,0,244,222,0,32,0,0
170224_haggling_b1_hd_00_08_0001350000,yes,300,586,586,0,300,300,286,0,7,2,4,1.0,300,0.0,0.835664,0.164336,0.164336,0.0,0.835664,0.0,0.0,0.0,tracking_target_170224_haggling_b1_hd_00_08_0001350000_log.txt,face_metadata_170224_haggling_b1_hd_00_08_0001350000.json,300,0,0,0,0,0,0,47,0,239,0,0,300,47,0,239,0,0
170224_haggling_b1_hd_00_08_0001550000,yes,299,536,536,0,299,232,304,0,0,2,4,0.77592,232,0.0,0.026316,0.973684,0.973684,0.0,0.026316,0.0,0.0,0.0,tracking_target_170224_haggling_b1_hd_00_08_0001550000_log.txt,face_metadata_170224_haggling_b1_hd_00_08_0001550000.json,232,0,0,0,0,0,0,296,0,8,0,0,232,296,0,8,0,0
170224_haggling_b1_hd_00_25_0001450000,yes,300,873,873,0,300,299,574,0,10,3,3,0.996667,299,0.0,0.280488,0.719512,0.719512,0.0,0.280488,0.0,0.0,0.0,tracking_target_170224_haggling_b1_hd_00_25_0001450000_log.txt,face_metadata_170224_haggling_b1_hd_00_25_0001450000.json,299,0,0,0,0,0,0,413,0,161,0,0,299,413,0,161,0,0
170224_haggling_b1_hd_00_25_0001750000,yes,300,866,866,0,300,299,567,0,8,2,3,0.996667,299,0.0,0.550265,0.449735,0.449735,0.0,0.550265,0.0,0.0,0.0,tracking_target_170224_haggling_b1_hd_00_25_0001750000_log.txt,face_metadata_170224_haggling_b1_hd_00_25_0001750000.json,299,0,0,0,0,0,0,255,0,312,0,0,299,255,0,312,0,0
